name;Module1_1_1_1;Module1_1_1_2;Module1_1_1_3;Module1_1_2_1;Module1_1_2_2_1;Module1_1_2_2_2;Module1_1_2_3_1_1;Module1_1_2_3_1_2;Module1_1_2_3_2;Module1_2_1_1;Module1_2_1_2;Module1_2_2_1;Module1_2_2_2;Module1_2_3_1;Module1_2_3_2;Module1_2_4;Module1_2_5_1;Module1_2_5_2;Module1_2_6;Module1_3_1_1_1_1;Module1_3_1_1_1_2;Module1_3_1_1_2_1;Module1_3_1_1_2_2;Module1_3_1_2_1_1;Module1_3_1_2_1_2;Module1_3_1_2_2;Module1_3_2_1;Module1_3_2_2;Module1_4_1_1_1_1;Module1_4_1_1_1_2;Module1_4_1_1_2;Module1_4_1_2;Module1_4_2_1;Module1_4_2_2;Module1_4_3;Module1_5;Module1_6;Module1_7_1;Module1_7_2;Module1_7_3;Module1_8
ACAd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0061162079510703364;0.0;0.0;0.0;0.0;0.0;0.026299694189602447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1908256880733945;0.6795107033639144;0.0;0.01651376146788991;0.0;0.0;0.0764525993883792;0.0;0.0;0.0;0.0;0.0;0.004281345565749235
ACAv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059571088165210485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2390786338363781;0.2962668784749801;0.26290706910246225;0.0;0.0;0.0;0.08101667990468626;0.0;0.0;0.0;0.0;0.0;0.0
AId;0.0;0.0;0.0010758472296933835;0.04303388918773534;0.0;0.0;0.38138784292630445;0.0032275416890801506;0.5529854760623991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006993006993006993;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIp;0.4376026272577997;0.0;0.4852216748768473;0.007389162561576354;0.0;0.0;0.003284072249589491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AIv;0.0;0.0;0.0011574074074074073;0.2835648148148148;0.0;0.0;0.11689814814814815;0.0;0.3576388888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008101851851851851;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUDd;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04470198675496689;0.445364238410596;0.0;0.33278145695364236;0.1771523178807947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUDp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035414725069897485;0.7837837837837838;0.0;0.0;0.013979496738117428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1668219944082013;0.0;0.0;0.0;0.0;0.0
AUDpo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6778523489932886;0.3221476510067114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AUDv;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10631229235880399;0.009966777408637873;0.0;0.0;0.2713178294573643;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6124031007751938;0.0;0.0;0.0;0.0;0.0
ECT;0.541958041958042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11072261072261072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34498834498834496;0.0;0.0;0.0;0.0;0.0
